종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"007070","GS리테일","KOSPI",,,"074701","종합 소매업","12",,"104717922","1000","104717922000","원(KRW)","허연수, 김호성","02-2005-1114","서울특별시 강남구 논현로 508GS타워(역삼동 679) "
"297890","HB솔루션","KOSDAQ","벤처기업부",,"032902","특수 목적용 기계 제조업","12",,"16720093","500","8360046500","원(KRW)","이재원","041-549-8850","충청남도 아산시 음봉면 연암율금로 77-26 "
"078150","HB테크놀러지","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"78990426","500","39495213000","원(KRW)","문성준","031-332-0060","충청남도 아산시 음봉면 산동로 87 "
"012630","HDC","KOSPI",,,"116409","기타 금융업","12",,"59741721","5000","298708605000","원(KRW)","정몽규, 정경구","02-2008-9114","서울특별시 강남구 영동대로 520 아이파크타워"
"039570","HDC랩스","KOSPI",,,"064203","전기 및 통신 공사업","12",,"25957601","500","12978800500","원(KRW)","김성은","031-785-1700","서울특별시 서초구 효령로 346 서초 HDC랩스 타워 "
"089470","HDC현대EP","KOSPI",,,"032004","기타 화학제품 제조업","12",,"31900000","500","17200000000","원(KRW)","정 중 규","041-350-0500","충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사"
"294870","HDC현대산업개발","KOSPI",,,"064101","건물 건설업","12",,"65907330","5000","329536650000","원(KRW)","최익훈, 정익희, 김회언 (각자 대표이사)","02-2008-9114","서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 "
"009540","HD한국조선해양","KOSPI",,,"033101","선박 및 보트 건조업","12",,"70773116","5000","353865580000","원(KRW)","가삼현, 정기선 (각자 대표이사)","02-1811-9114","경기도 성남시 분당구 분당수서로 477 정자동, HD현대그룹 글로벌 R&D센터"
"267250","HD현대","KOSPI",,,"031902","석유 정제품 제조업","12",,"78993085","1000","81433085000","원(KRW)","권오갑, 정기선","18-11-6114","경기도 성남시 분당구 분당수서로 477 HD현대 글로벌 R&D센터"
"267270","HD현대건설기계","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"19700793","5000","98503965000","원(KRW)","최철곤","02-479-7880","경기도 성남시 분당구 분당수서로 477 11층(정자동, HD현대그룹 글로벌 R&D센터)"
"322000","HD현대에너지솔루션","KOSPI",,,"032601","반도체 제조업","12",,"11200000","5000","56000000000","원(KRW)","박종환","1522-5001","경기도 성남시 분당구 분당수서로 477 9층(정자동, HD현대그룹 글로벌 R&D센터)"
"042670","HD현대인프라코어","KOSPI",,,"032902","특수 목적용 기계 제조업","12",,"199603453","1000","199603453000","원(KRW)","조영철, 오승현","032-211-1114","인천광역시 동구  인중로 489(화수동) "
"329180","HD현대중공업","KOSPI",,,"033101","선박 및 보트 건조업","12",,"88773116","5000","443865580000","원(KRW)","한영석, 이상균 (각자 대표이사)","052-202-2114","울산광역시 동구 방어진순환도로 1000 "
"097230","HJ중공업","KOSPI",,,"064102","토목 건설업","12",,"83274281","5000","416371405000","원(KRW)","홍문기, 유상철","051-410-3114","부산광역시 영도구  태종로 233 한진중공업"
"195940","HK이노엔","KOSDAQ","벤처기업부",,"032102","의약품 제조업","12",,"28329891","500","14452249500","원(KRW)","곽달원","02-6477-0000","충청북도 청주시 흥덕구 오송읍 오송생명2로 239 에이치케이이노엔(주) 오송공장 "
"014790","HL D&I","KOSPI",,,"064102","토목 건설업","12",,"37858601","5000","194374710000","원(KRW)","홍석화","02-3434-5114","서울특별시 송파구 올림픽로 289 "
"028300","HLB","KOSDAQ","중견기업부",,"032103","의료용품 및 기타 의약 관련제품 제조업","12",,"117576784","500","58788392000","원(KRW)","진양곤, 김동건 (각자대표)","02-3453-4414","세종특별자치시  연동면 명학산단서로 10-5 -"
"003580","HLB글로벌","KOSPI",,,"020702","기타 비금속광물 광업","12",,"42367042","500","21183521000","원(KRW)","김광재","02-6925-4450","강원도 정선군  사북읍 동탄길 32 "
"278650","HLB바이오스텝","KOSDAQ","벤처기업부",,"137001","자연과학 및 공학 연구개발업","12",,"75613542","100","7561354200","원(KRW)","문정환","032-833-8899","인천광역시 연수구 아카데미로79번길 38 - "
"343090","HLB사이언스","KONEX","일반기업부",,"032103","의료용품 및 기타 의약 관련제품 제조업","12","신한증권","12865511","500","6432755500","원(KRW)","윤종선","02-6925-0379","서울특별시 성동구 아차산로 66 6층(성수동2가)"
"067630","HLB생명과학","KOSDAQ","중견기업부",,"137201","건축기술, 엔지니어링 및 관련 기술 서비스업","12",,"96736774","500","48368387000","원(KRW)","남상우, 한용해(각자대표)","02-2627-6700","경기도 화성시 동탄첨단산업1로 51-9 8층(영천동,엠타워지식산업센터)"
"024850","HLB이노베이션","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"66507231","500","33253615500","원(KRW)","김홍철","031-522-3700","경기도 화성시 향남읍 발안공단로4길 16 구문천리 928"
"047920","HLB제약","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"28034363","500","14017181500","원(KRW)","박재형, 전복환 각자대표","02-411-1514","경기도 남양주시 경강로 27 "
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부",,"074607","기타 전문 도매업","12",,"70788057","500","35394028500","원(KRW)","안기홍","031-786-7800","경기도 성남시 분당구  정자일로 248 2201 "
"204320","HL만도","KOSPI",,,"033003","자동차 신품 부품 제조업","12",,"46957120","1000","46957120000","원(KRW)","조성현, 김현욱 (각자대표)","031-680-6114","경기도 평택시 포승읍 하만호길 32 "
"060980","HL홀딩스","KOSPI",,,"116409","기타 금융업","12",,"10472070","5000","55086180000","원(KRW)","김광헌, 김준범","02-3434-5133","경기도 용인시 기흥구 기흥단지로 46 -"
"011200","HMM","KOSPI",,,"085001","해상 운송업","12",,"489039496","5000","2445197480000","원(KRW)","김경배","02-3706-5114","서울특별시 영등포구 여의대로 108 (여의도동, 파크원 타워1)"
"403870","HPSP","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","12",,"81159000","500","40579500000","원(KRW)","김용운","031-227-9898","경기도 수원시 권선구 오목천로152번길 65 "
"036640","HRS","KOSDAQ","우량기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"16354800","500","8177400000","원(KRW)","김진성","02  -780 -6156","경기도 평택시  팽성읍 추팔산단2길 7 "
"082740","HSD엔진","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"71543994","1000","71543994000","원(KRW)","고영열","055-260-6000","경상남도 창원시 성산구 공단로 67 (신촌동)"
"405350","IBKS제17호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"2720000","100","272000000","원(KRW)","이경준","02-6915-5331","서울특별시 영등포구 국제금융로6길 11 "
"424760","IBKS제18호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4230000","100","423000000","원(KRW)","이정현","02-6915-5797","울산광역시 중구 종가로 310 701호, 702호 (우정동, 엠타워)"
"426550","IBKS제19호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5080000","100","508000000","원(KRW)","임세광","02-6915-5523","서울특별시 영등포구 국제금융로6길 11 "
"439730","IBKS제20호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4310000","100","431000000","원(KRW)","박광열","02-6915-5797","서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) "
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4210000","100","421000000","원(KRW)","김수환","02-6915-5356","서울특별시 영등포구 국제금융로6길 11(여의도동, 삼덕빌딩) "
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4430000","100","443000000","원(KRW)","김정현","02-6915-5334","서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 "
"003560","IHQ","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"242295648","500","121147824000","원(KRW)","김형철","02-6005-6000","서울특별시 강서구 강서로 501-8 6층 "
"095340","ISC","KOSDAQ","우량기업부",,"032602","전자부품 제조업","12",,"17399471","500","8699735500","원(KRW)","김정렬, 김상욱 (각자 대표이사)","031-777-7675","경기도 성남시 수정구 금토로40번길 26 -"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)",,"032605","영상 및 음향기기 제조업","12",,"24649867","500","12324933500","원(KRW)","박상열, 김진영 (각자 대표이사)","02-2082-8500","서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호"
"175330","JB금융지주","KOSPI",,,"116409","기타 금융업","12",,"196982894","5000","984914470000","원(KRW)","김기홍","02-2128-2714","전라북도 전주시 덕진구  백제대로 566 "
"950170","JTC","KOSDAQ","관리종목(소속부없음)",,"074701","종합 소매업","02",,"50288623","무액면","0","일본엔(JPY)","구철모","02-785-9101","6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan "
"234080","JW생명과학","KOSPI",,,"032102","의약품 제조업","12",,"15834554","2500","39586385000","원(KRW)","차성남","041-351-7600","충청남도 당진시 송악읍 한진1길 28 "
"067290","JW신약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"48427177","500","24213588500","원(KRW)","김용관","02-840-6111","서울특별시 서초구 남부순환로 2477 "
"001060","JW중외제약","KOSPI",,,"032102","의약품 제조업","12",,"22835036","2500","58440692500","원(KRW)","대표이사 신영섭","02-840-6777","서울특별시 서초구  남부순환로 2477 "
"096760","JW홀딩스","KOSPI",,,"116409","기타 금융업","12",,"72508159","500","36254079500","원(KRW)","이경하, 한성권","02-840-6777","서울특별시 서초구  남부순환로 2477 "
"035900","JYP Ent.","KOSDAQ","우량기업부",,"105902","오디오물 출판 및 원판 녹음업","12",,"35497492","500","17943451500","원(KRW)","정욱","02-2225-8100","서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) "
"318000","KBG","KOSDAQ","벤처기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"8229825","200","1645965000","원(KRW)","부삼열","041-523-6201","충청남도 천안시 동남구 성남면 대흥신덕길 84-19 "
"024840","KBI메탈","KOSDAQ","중견기업부",,"032402","1차 비철금속 제조업","12",,"32950848","500","16475424000","원(KRW)","김재충","053-610-5610","대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장"
"105560","KB금융","KOSPI",,,"116409","기타 금융업","12",,"403511072","5000","2090557685000","원(KRW)","윤종규","02-2073-7114","서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)"
"432320","KB스타리츠","KOSPI",,,"126801","부동산 임대 및 공급업","01",,"101414285","500","50707142500","원(KRW)","신명재","02-2167-8344","서울특별시 영등포구 국제금융로 10, 41층 "
"024120","KB오토시스","KOSDAQ","우량기업부",,"033003","자동차 신품 부품 제조업","12",,"11500000","500","5750000000","원(KRW)","김신완","041-537-5345","충청남도 아산시  음봉면 아산온천로 528-24 "
"002380","KCC","KOSPI",,,"032004","기타 화학제품 제조업","12",,"8886471","5000","48084660000","원(KRW)","정몽진, 정재훈","02-3480-5000","서울특별시 서초구  사평대로 344 (주)케이씨씨 빌딩"
"021320","KCC건설","KOSDAQ","우량기업부",,"064101","건물 건설업","12",,"21400000","5000","107000000000","원(KRW)","정몽열,이창호","02-513-5500","서울특별시 서초구  강남대로 587 KCC 건설 "
"344820","KCC글라스","KOSPI",,,"032301","유리 및 유리제품 제조업","12",,"15970512","1000","15970512000","원(KRW)","김내환",,"서울특별시 서초구 강남대로 587(잠원동) "
"036670","KCI","KOSDAQ","우량기업부",,"032004","기타 화학제품 제조업","12",,"11270000","500","5635000000","원(KRW)","이진용","031 -497 -6411","충남 서산시 대산읍 대죽리 13-7 "
"009070","KCTC","KOSPI",,,"084903","도로 화물 운송업","12",,"30000000","500","15000000000","원(KRW)","류주환","02-310-0700","서울특별시 중구 남대문로 63 한진빌딩 "
"009440","KC그린홀딩스","KOSPI",,,"116409","기타 금융업","12",,"22434980","500","11217490000","원(KRW)","이태영","02-320-6311","서울특별시 마포구 상암산로 34디지털큐브 12층 "
"112190","KC산업","KONEX","일반기업부",,"032303","시멘트, 석회, 플라스터 및 그 제품 제조업","12","하이증권","7125253","500","3562626500","원(KRW)","이홍재, 최경침(각자대표)","031-883-8684","경기도 여주시 가남읍 가남로 465 "
"119650","KC코트렐","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"34600456","500","17300228000","원(KRW)","김현수","02-320-6114","서울특별시 마포구 상암산로 34디지털큐브 12층 "
"044180","KD","KOSDAQ","투자주의환기종목(소속부없음)",,"064101","건물 건설업","12",,"24848641","500","12424320500","원(KRW)","안태일","070-5138-4366","경기도 안산시 단원구 광덕서로 102 406-3호"
"092220","KEC","KOSPI",,,"032601","반도체 제조업","12",,"144763141","500","72381570500","원(KRW)","이종홍, 이태선, 강래훈","02-2025-5000","서울특별시 서초구  마방로10길 5 "
"151860","KG ETS","KOSDAQ","우량기업부",,"053802","폐기물 처리업","12",,"36000000","500","20051860000","원(KRW)","엄기민","031-488-1122","경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주)"
"046440","KG모빌리언스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"38825568","500","19412784000","원(KRW)","유승용","(02)2192-2000","서울특별시 중구 통일로 92 케이지타워 16층"
"003620","KG모빌리티","KOSPI",,,"033001","자동차용 엔진 및 자동차 제조업","12",,"186956024","5000","934780120000","원(KRW)","곽재선, 정용원","031-610-1114","경기도 평택시  동삭로 455-12 "
"016380","KG스틸","KOSPI",,,"032401","1차 철강 제조업","12",,"100008897","5000","500044485000","원(KRW)","박성희","02-3450-8114","서울특별시 중구 한강대로 416 서울스퀘어 7층"
"035600","KG이니시스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"27904434","500","13952217000","원(KRW)","이선재","02-1588-4954","서울특별시 중구 통일로 92 케이지타워 14,15층"
"001390","KG케미칼","KOSPI",,,"032001","기초 화학물질 제조업","12",,"13866096","5000","71638725000","원(KRW)","곽정현, 김재익","052-231-1842","울산광역시 울주군 온산읍 당월로 322 "
"226360","KH 건설","KOSDAQ","투자주의환기종목(소속부없음)",,"064102","토목 건설업","12",,"123620531","100","12362053100","원(KRW)","강정식","02-6114-0920","서울특별시 금천구 가산디지털1로 165 1401호, 1402호 (가산동)"
